------+---------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
 Line | # File         Line | Line Type   | MX |  Reloc  | Size | Address   Object Code |  Source Code                                                      
------+---------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
    1 |  1 SMBDEMO.S      1 | Comment     | 11 |         |    0 | 00/0000               | *
    2 |  1 SMBDEMO.S      2 | Comment     | 11 |         |    0 | 00/0000               | * Marinetti / SMB2 Test, Mark II
    3 |  1 SMBDEMO.S      3 | Comment     | 11 |         |    0 | 00/0000               | *
    4 |  1 SMBDEMO.S      4 | Comment     | 11 |         |    0 | 00/0000               | * CHANGELOG
    5 |  1 SMBDEMO.S      5 | Comment     | 11 |         |    0 | 00/0000               | * Thursday, April 30, 2015 - Restarted effort, ported code from ORCA/M to Merlin32 and debugged Merlin32 environment
    6 |  1 SMBDEMO.S      6 | Comment     | 11 |         |    0 | 00/0000               | * Friday, May 1, 2015      - Ported more code to Merlin32, set up Merlin32 equates
    7 |  1 SMBDEMO.S      7 | Comment     | 11 |         |    0 | 00/0000               | * Saturday, May 2, 2015    - Formatting fixes, refactoring, rewritten SMB Negotiation code
    8 |  1 SMBDEMO.S      8 | Comment     | 11 |         |    0 | 00/0000               | *
    9 |  1 SMBDEMO.S      9 | Comment     | 11 |         |    0 | 00/0000               | * REFERENCES
   10 |  1 SMBDEMO.S     10 | Comment     | 11 |         |    0 | 00/0000               | * smb.c / smb.h from libOGC
   11 |  1 SMBDEMO.S     11 | Comment     | 11 |         |    0 | 00/0000               | * http://www.ubiqx.org/cifs/SMB.html
   12 |  1 SMBDEMO.S     12 | Comment     | 11 |         |    0 | 00/0000               | *
   13 |  1 SMBDEMO.S     13 | Empty       | 11 |         |    0 | 00/0000               |                                                                
   14 |  1 SMBDEMO.S     14 | Directive   | 11 |         |    0 | 00/0000               |                                 rel                            
   15 |  1 SMBDEMO.S     15 | Directive   | 11 |         |    0 | 00/0000               |                                 dsk       smbdemo.l            
   16 |  1 SMBDEMO.S     16 | Empty       | 11 |         |    0 | 00/0000               |                                                                
   17 |  1 SMBDEMO.S     17 | Comment     | 11 |         |    0 | 00/0000               | * Macros (mostly from Merlin32 dist)
   18 |  1 SMBDEMO.S     18 | Directive   | 11 |         |    0 | 00/0000               |                                 use       GsOs.Macs            
   19 |  1 SMBDEMO.S     19 | Directive   | 11 |         |    0 | 00/0000               |                                 use       Util.Macs            
   20 |  1 SMBDEMO.S     20 | Directive   | 11 |         |    0 | 00/0000               |                                 use       Misc.Macs            
   21 |  1 SMBDEMO.S     21 | Directive   | 11 |         |    0 | 00/0000               |                                 use       Locator.Macs         
   22 |  1 SMBDEMO.S     22 | Directive   | 11 |         |    0 | 00/0000               |                                 use       Mem.Macs             
   23 |  1 SMBDEMO.S     23 | Directive   | 11 |         |    0 | 00/0000               |                                 use       Qd.Macs              
   24 |  1 SMBDEMO.S     24 | Directive   | 11 |         |    0 | 00/0000               |                                 use       QdAux.Macs           
   25 |  1 SMBDEMO.S     25 | Directive   | 11 |         |    0 | 00/0000               |                                 use       Event.Macs           
   26 |  1 SMBDEMO.S     26 | Directive   | 11 |         |    0 | 00/0000               |                                 use       Window.Macs          
   27 |  1 SMBDEMO.S     27 | Directive   | 11 |         |    0 | 00/0000               |                                 use       Ctl.Macs             
   28 |  1 SMBDEMO.S     28 | Directive   | 11 |         |    0 | 00/0000               |                                 use       Menu.Macs            
   29 |  1 SMBDEMO.S     29 | Directive   | 11 |         |    0 | 00/0000               |                                 use       Desk.Macs            
   30 |  1 SMBDEMO.S     30 | Directive   | 11 |         |    0 | 00/0000               |                                 use       Sound.Macs           
   31 |  1 SMBDEMO.S     31 | Directive   | 11 |         |    0 | 00/0000               |                                 use       Line.Macs            
   32 |  1 SMBDEMO.S     32 | Directive   | 11 |         |    0 | 00/0000               |                                 use       Dialog.Macs          
   33 |  1 SMBDEMO.S     33 | Directive   | 11 |         |    0 | 00/0000               |                                 use       TCPIP.Macs           ; from MOSP CVS
   34 |  1 SMBDEMO.S     34 | Empty       | 11 |         |    0 | 00/0000               |                                                                
   35 |  1 SMBDEMO.S     35 | Comment     | 11 |         |    0 | 00/0000               | * Equates (ripped off from Merlin 16)		
   36 |  1 SMBDEMO.S     36 | Directive   | 11 |         |    0 | 00/0000               |                                 use       E16.Dialog.Macs      
   37 |  1 SMBDEMO.S     37 | Directive   | 11 |         |    0 | 00/0000               |                                 use       E16.GsOs.Macs        
   38 |  1 SMBDEMO.S     38 | Comment     | 11 |         |    0 | 00/0000               | * Equates (from MOSP/Tools/Orca.M/e16.tcpip)
   39 |  1 SMBDEMO.S     39 | Directive   | 11 |         |    0 | 00/0000               |                                 use       E16.TCPIP.Macs       
   40 |  1 SMBDEMO.S     40 | Empty       | 11 |         |    0 | 00/0000               |                                                                
   41 |  1 SMBDEMO.S     41 | Comment     | 11 |         |    0 | 00/0000               | *-----------------------------------------------------------------------------
   42 |  1 SMBDEMO.S     42 | Comment     | 11 |         |    0 | 00/0000               | * DP variables and local equates
   43 |  1 SMBDEMO.S     43 | Comment     | 11 |         |    0 | 00/0000               | *-----------------------------------------------------------------------------
   44 |  1 SMBDEMO.S     44 | Empty       | 11 |         |    0 | 00/0000               |                                                                
   45 |  1 SMBDEMO.S     45 | Comment     | 11 |         |    0 | 00/0000               | * DUM $000000 is broken on merlin32, if you want LDA (DP) $A5 opcode, write one-byte equates instead
   46 |  1 SMBDEMO.S     46 | Comment     | 11 |         |    0 | 00/0000               | * cause merlin32 will always give you $AD (LDAL)
   47 |  1 SMBDEMO.S     47 | Comment     | 11 |         |    0 | 00/0000               | *		dum 0
   48 |  1 SMBDEMO.S     48 | Comment     | 11 |         |    0 | 00/0000               | *AppMMID
   49 |  1 SMBDEMO.S     49 | Comment     | 11 |         |    0 | 00/0000               | *		ds 2,0				; Memory Manager ID
   50 |  1 SMBDEMO.S     50 | Comment     | 11 |         |    0 | 00/0000               | *HndlRef
   51 |  1 SMBDEMO.S     51 | Comment     | 11 |         |    0 | 00/0000               | *		ds 2,0				; For Dereferencing MM Handle
   52 |  1 SMBDEMO.S     52 | Comment     | 11 |         |    0 | 00/0000               | *DPBase
   53 |  1 SMBDEMO.S     53 | Comment     | 11 |         |    0 | 00/0000               | *		ds 1,0				; Deref'd handle
   54 |  1 SMBDEMO.S     54 | Comment     | 11 |         |    0 | 00/0000               | *		dend
   55 |  1 SMBDEMO.S     55 | Empty       | 11 |         |    0 | 00/0000               |                                                                
   56 |  1 SMBDEMO.S     56 | Comment     | 11 |         |    0 | 00/0000               | * workaround: do this instead for DP variables
